@relation PartTreinamento_ConcluidoDesertou

@attribute Sexo numeric
@attribute Idade numeric
@attribute ZonaMoradia_ZONARESIDENCIAL numeric
@attribute ZonaMoradia_ASENTAMIENTOHUMANO numeric
@attribute ZonaMoradia_URBANIZACION numeric
@attribute ZonaMoradia_CASCOURBANO numeric
@attribute ZonaMoradia_PUEBLOJOVEN numeric
@attribute ZonaMoradia_OTROS numeric
@attribute ZonaMoradia_ZONARURAL numeric
@attribute Trabalha numeric
@attribute EstadoCivil_SOLTERO numeric
@attribute EstadoCivil_CASADO numeric
@attribute EstadoCivil_DIVORCIADO numeric
@attribute EstadoCivil_DESCONOCIDO numeric
@attribute EstadoCivil_SEPARADO numeric
@attribute EstadoCivil_CONVIVIENTE numeric
@attribute EstadoCivil_VIUDO numeric
@attribute Escola numeric
@attribute Religiao_CRISTIANOCATOLICO numeric
@attribute Religiao_OTRARELIGION numeric
@attribute Religiao_CRISTIANOEVANGELICO numeric
@attribute Religiao_AGNOSTICO numeric
@attribute CursoGraduacao numeric
@attribute Modalidade numeric
@attribute PeriodoIngreso numeric
@attribute NotaExameAdmissao numeric
@attribute TotalNiveisCurso numeric
@attribute TotalCreditosCurso numeric
@attribute TotalNiveisCursados numeric
@attribute PorcentagemNC numeric
@attribute TotalCreditosCursados numeric
@attribute PorcentagemCC numeric
@attribute PeriodoUltimaMatricula numeric
@attribute UltimoNivelEstudado numeric
@attribute PromedioUltimoPeriodo numeric
@attribute Class {CONCLUIDO,DESERTOU}

@data
1,0.254237,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.30303,0,0,0.24,0,0,0.833333,0.835616,0.955645,0.955662,0.445556,0.545455,0.206914,CONCLUIDO
1,0.271186,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.151515,0,0.112222,0.13,1,1,0.916667,0.753425,0.951613,0.791747,0.557778,1,0.762583,CONCLUIDO
0,0.305085,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0.30303,1,0.001111,0.15,0,0,0.833333,0.835616,0.96371,0.963724,0.556667,0.090909,0.820031,CONCLUIDO
0,0.237288,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.666667,0,0.112222,0,0,0,0.75,0.753425,0.891129,0.891171,0.445556,0.818182,0.742755,CONCLUIDO
0,0.237288,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.666667,0,0.112222,0,0,0,0.75,0.753425,0.891129,0.891171,0.445556,0.818182,0.751398,CONCLUIDO
1,0.220339,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0.909091,0,0.113333,0.02,0,0,0,0.013699,0.076613,0.076967,0.113333,0,0.857143,DESERTOU
1,0.220339,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0.113333,0.02,0,0,0,0.013699,0.076613,0.076967,0.113333,0,0.857143,DESERTOU
1,0.338983,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.001111,0,0,0,0.583333,0.589041,0.58871,0.588868,0.335556,0.818182,0.711744,CONCLUIDO
1,0.220339,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.060606,0,0,0.17,0,0,0.75,0.753425,0.862903,0.862956,0.333333,0.818182,0.665989,CONCLUIDO
1,0.271186,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.242424,0,0.112222,0.13,0,0,0.75,0.753425,0.717742,0.71785,0.778889,0.090909,0,CONCLUIDO
